4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
26775.53,26684.66,-87.2,-10.9,22.4,21.3
26875.13,29552.31,-87.3,-11.2,23.7,24.8
30753.37,32310.69,-86.3,-11.3,22.8,23.2
30732.80,34713.55,-84.4,-11.2,24.9,23.6
15366.40,33013.47,-85.9,-10.6,24.3,25.2
49975.66,36158.66,-82.7,-10.5,26.8,23.6
19233.66,40718.28,-84.2,-11.0,27.3,24.4
35078.40,42723.23,-76.3,-11.7,23.8,26.0
62500.53,33006.40,-81.6,-11.4,21.3,22.2
17707.20,35691.03,-83.3,-11.5,21.6,26.0
34615.27,38912.08,-82.3,-12.9,23.8,26.0
34615.62,34542.86,-84.1,-13.0,26.9,21.3
38318.38,25813.13,-87.3,-10.3,19.1,23.2
28603.06,21562.57,-85.0,-13.6,16.0,19.6
21204.68,24337.04,-95.4,-12.0,12.1,27.1
23002.89,23561.12,-90.1,-11.3,14.0,32.4
22923.87,23200.77,-96.8,-17.1,8.9,56.0
22963.53,18335.53,-93.0,-16.1,9.6,35.1
18961.60,19025.16,-92.7,-15.9,10.4,49.2
19091.73,20957.65,-97.9,-17.6,6.5,44.8
19036.74,19262.39,-91.4,-13.3,14.0,34.7
19066.45,24355.98,-91.7,-12.4,16.5,33.6
26761.32,28147.12,-85.5,-12.6,18.5,29.6
26886.94,30619.03,-88.8,-11.9,17.8,28.4
26897.90,34176.64,-92.8,-11.2,17.6,32.0
34580.16,34940.91,-93.9,-11.1,17.9,31.6
31247.26,36007.17,-92.0,-11.2,19.9,32.9
37956.71,35297.79,-92.8,-13.6,16.6,24.8
34472.98,20412.61,-93.1,-12.2,10.4,21.8
22892.80,22039.86,-99.5,-13.2,10.0,29.6
19163.75,19619.91,-98.4,-11.4,13.9,19.6
19069.98,17731.01,-92.5,-12.4,12.9,22.8
19135.41,19925.18,-98.8,-13.8,11.6,27.1
19129.60,20242.97,-101.8,-12.7,10.8,30.4
19140.54,15054.35,-103.3,-12.1,7.1,26.0
15176.00,16472.26,-97.3,-10.7,12.0,39.1
15220.80,18442.63,-95.5,-11.0,12.5,38.0
19062.18,17544.58,-97.9,-12.1,11.2,34.4
15599.04,18893.78,-93.3,-12.1,9.3,36.4
18583.38,25162.58,-95.9,-10.6,14.1,40.4
26812.80,27244.12,-97.5,-10.3,13.8,40.9
24397.70,29826.49,-96.5,-9.6,15.0,41.6
29241.46,31019.94,-96.5,-9.9,14.8,48.4
30710.04,33303.96,-101.7,-11.2,10.6,50.8
15342.02,35870.95,-107.3,-11.3,9.7,58.4
34494.34,37484.36,-104.8,-13.0,10.7,74.0
,36230.16,-96.5,-12.8,14.9,55.0
38663.62,0.00,-106.6,-8.1,16.2,40.0
,10795.06,-97.3,-10.2,18.7,47.0
,44188.35,-91.3,-11.4,17.3,50.4
17874.86,34808.63,-97.1,-10.2,16.7,44.4
19000.84,37389.36,-93.8,-10.5,17.1,45.2
35606.55,39836.48,-90.7,-9.1,22.6,36.4
41235.14,41105.77,-96.2,-10.0,18.2,43.6
38495.60,38615.85,-104.8,-12.3,11.0,67.3
38360.46,39257.01,-107.4,-12.1,9.5,68.9
37732.80,38392.24,-104.6,-12.6,10.0,64.4
38944.68,30772.41,-108.4,-12.7,8.5,67.0
38421.20,27951.28,-111.5,-15.3,1.1,80.4
22848.81,31493.44,-107.2,-16.5,6.0,86.0
26679.74,41447.92,-104.5,-18.9,7.1,98.4
42146.48,47208.21,-106.3,-19.2,7.1,100.0
46047.92,54884.35,-107.5,-19.0,6.0,96.8
53794.94,57030.39,-109.0,-17.9,5.9,78.0
57449.51,56424.74,-111.6,-18.4,4.9,92.4
53909.72,49291.06,-113.6,-19.6,2.9,93.6
49995.69,39591.55,-110.7,-18.9,1.1,95.2
42171.64,50276.55,-105.0,-19.7,2.9,94.7
49435.53,35916.96,-111.5,-20.3,-0.5,99.2
35008.87,34364.83,-118.2,-20.2,-0.2,100.0
34451.20,41283.29,-114.5,-15.6,6.2,81.2
26633.60,72304.33,-98.2,-15.7,14.5,70.4
69398.82,56235.08,-110.0,-17.9,3.3,95.2
57696.93,73395.86,-105.5,-18.9,11.6,84.8
65526.80,41331.19,-110.8,-18.9,4.7,92.8
54464.16,46147.44,-113.2,-19.1,1.6,95.2
45433.67,40593.39,-113.4,-19.3,2.0,93.3
52897.01,55773.95,-108.1,-19.5,6.4,95.6
,30672.94,-112.5,-12.3,7.2,
,0.00,-125.4,-9.9,6.8,4.0
,2.47,-114.8,-11.2,3.2,4.0
,0.00,-113.0,-10.2,7.3,4.0
,0.00,-112.0,-10.4,7.3,4.0
,0.00,-115.9,-11.9,3.9,4.0
,0.00,-116.6,-11.1,5.3,
,0.00,-126.9,-12.1,2.3,4.0
,0.00,-117.3,-11.4,4.4,4.0
,0.00,-117.9,-11.1,4.5,4.0
,0.00,-107.1,-12.0,2.0,4.0
,0.00,-117.3,-11.3,4.7,4.0
,0.00,-119.6,-12.0,2.7,4.0
,,-126.9,-11.4,1.9,
,,-126.1,-12.4,2.5,
,,-129.6,-13.6,0.3,
,,-126.4,-11.2,6.8,
,,-125.7,-14.7,4.9,4.0
,,-131.3,-15.6,-3.3,
,,-132.1,-12.6,1.1,
,,-130.6,-12.7,3.3,4.0
,,-129.4,-11.9,5.2,
,,-131.7,-12.1,2.6,
,,-132.1,-12.3,1.7,
,,-132.6,-13.4,0.1,
,,-130.2,-13.2,1.6,
,,-121.5,-8.9,9.6,
,,-122.0,-9.7,13.4,
,,-131.3,-14.7,-2.7,
,,-129.6,-13.9,0.3,
,4.23,-115.2,-15.8,-1.1,4.0
,17159.15,-103.8,-13.8,4.4,52.8
,17738.22,-105.9,-13.7,8.0,24.0
26962.70,49103.76,-108.3,-15.2,7.9,88.8
3647.62,56620.29,-110.2,-19.6,5.8,100.0
45796.80,59131.51,-107.8,-19.5,4.2,94.4
47609.41,11257.36,-113.2,-14.1,4.9,36.6
78090.37,45622.41,-109.6,-19.2,5.3,96.4
156.80,48640.77,-103.4,-17.2,4.6,79.6
45315.20,43319.25,-104.6,-17.7,7.3,75.6
43376.10,59354.77,-108.7,-18.3,7.8,94.2
48472.98,51590.84,-106.0,-18.5,5.7,95.2
57335.29,60700.74,-105.2,-16.2,10.2,93.2
49958.29,52933.70,-109.2,-18.6,3.2,99.6
54212.10,46998.21,-108.3,-18.8,3.5,96.4
54579.75,39765.97,-106.2,-18.9,2.2,98.8
44948.99,53257.32,-105.8,-19.0,4.3,96.0
42189.17,30810.34,-108.4,-19.8,0.5,96.4
46099.20,70072.44,-105.1,-14.4,11.1,66.0
30587.20,52794.58,-106.4,-15.6,10.8,57.8
67904.47,55914.40,-106.7,-17.5,9.5,69.2
51329.65,61466.94,-105.9,-17.8,10.4,69.6
52179.87,40600.31,-98.6,-17.1,11.2,57.2
63447.45,32906.44,-105.7,-17.8,9.2,58.0
38057.60,33907.88,-106.1,-14.7,11.0,58.0
31841.60,37263.48,-106.2,-15.3,10.9,61.3
33389.50,37778.35,-104.7,-17.1,3.0,66.8
38404.06,36487.00,-106.6,-17.4,10.3,72.4
37050.83,21322.42,-105.7,-15.2,10.1,59.2
30438.92,19402.96,-100.7,-14.0,8.0,46.4
23867.00,21077.78,-104.2,-10.4,5.5,46.8
18984.00,24023.80,-100.8,-8.4,13.8,36.8
19152.00,26593.81,-97.9,-9.8,12.3,34.7
26784.54,28985.77,-96.9,-10.1,18.1,37.6
26877.58,25843.46,-91.7,-8.7,19.8,36.8
26882.14,24652.22,-92.8,-8.6,19.3,31.1
22996.92,22991.58,-90.7,-9.6,18.7,28.0
23004.59,20713.60,-89.6,-7.9,21.5,24.8
22803.20,23401.90,-90.0,-7.6,21.4,22.7
23010.94,24053.05,-87.8,-8.6,24.3,24.4
11498.33,27261.83,-86.3,-7.5,26.6,23.2
34534.74,28758.03,-86.4,-7.7,23.9,26.7
26868.80,31882.62,-78.2,-7.9,28.1,23.6
15377.60,33555.20,-84.2,-8.0,28.1,27.1
30722.68,36122.96,-85.4,-7.7,27.4,32.0
34616.62,38454.30,-85.8,-8.2,26.0,35.1
34600.14,34284.44,-84.5,-7.6,25.0,28.4
35839.91,17028.01,-82.2,-8.1,28.1,17.2
40491.43,24656.37,-86.6,-8.6,22.9,27.1
11379.20,25471.75,-81.7,-8.1,26.3,26.8
23016.00,25932.10,-83.1,-7.7,21.7,34.0
26867.81,29094.34,-83.6,-7.9,26.4,36.9
26880.00,32325.69,-90.2,-7.5,17.7,54.0
26893.50,39202.05,-88.0,-9.2,19.8,68.0
31139.34,44044.78,-87.4,-10.7,21.1,62.8
37950.34,38912.78,-85.6,-9.0,22.6,46.7
45987.20,40738.37,-89.7,-10.5,18.4,73.2
38502.16,35974.31,-95.8,-12.4,13.7,89.6
38403.45,34439.33,-94.5,-10.1,15.6,83.6
34418.72,29667.19,-100.1,-11.8,11.5,89.2
34248.13,37114.70,-96.1,-10.5,16.9,68.8
