4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
46578.58,52529.38,-61.4,-14.5,6.3,78.0
50575.68,53498.11,-63.9,-13.5,19.1,64.0
50392.80,36061.99,-65.5,-12.2,16.1,38.0
50033.79,32275.86,-65.4,-12.7,19.7,37.2
31172.04,35823.79,-64.3,-11.4,19.0,38.8
35014.70,23094.09,-67.0,-12.2,17.7,33.3
30864.63,29291.60,-69.9,-12.3,13.1,41.8
16864.62,33454.50,-76.4,-12.5,10.1,51.2
37398.43,24951.48,-81.6,-12.9,7.0,46.4
27121.26,27939.40,-82.6,-14.0,6.3,61.6
27000.06,30736.26,-83.4,-15.1,6.3,72.4
31014.83,21926.76,-81.8,-13.4,8.4,63.6
26891.50,25962.25,-76.4,-11.9,13.7,37.3
23228.65,27222.05,-75.3,-15.3,9.5,48.8
27015.54,16525.64,-73.5,-11.4,10.9,34.0
23305.50,24262.07,-72.2,-12.7,12.2,38.2
15285.86,22356.91,-74.7,-10.4,14.9,32.8
23305.19,23746.25,-69.5,-11.9,19.5,34.7
20982.10,33171.50,-70.6,-10.4,17.0,39.6
29447.06,35481.52,-75.5,-11.4,14.7,51.1
19321.07,37973.72,-83.5,-15.0,8.5,73.2
34414.50,34259.96,-82.3,-15.8,6.9,73.2
39189.86,32303.93,-83.9,-15.7,5.2,77.6
46200.46,27439.69,-88.0,-15.3,5.0,64.4
15422.40,18806.71,-87.4,-14.8,7.8,63.6
34879.16,32442.72,-84.5,-14.9,10.8,80.4
11415.60,36096.27,-87.2,-16.0,5.0,84.9
38744.55,38267.84,-86.9,-16.3,4.4,90.0
38600.66,40229.44,-83.9,-15.1,7.9,78.4
30985.20,43247.39,-81.6,-14.6,11.2,64.8
46299.88,38050.42,-83.0,-13.4,10.5,56.0
42735.60,23969.22,-82.4,-13.0,11.6,36.4
26870.40,27348.95,-76.5,-13.5,15.9,38.4
27216.00,32579.56,-79.2,-14.2,14.4,41.3
27052.93,37440.87,-76.8,-11.5,17.7,45.2
38932.61,40793.87,-71.9,-12.0,16.3,50.0
38764.45,47455.33,-77.1,-12.2,17.3,50.4
50363.99,54243.33,-74.6,-14.0,19.4,53.7
,0.62,-78.3,-8.3,16.9,12.0
,0.00,-73.6,-6.0,17.9,
,0.00,-75.1,-7.2,18.8,6.0
,0.00,-71.5,-7.4,23.4,4.0
,0.00,-67.0,-7.3,23.7,4.0
,0.00,-71.8,-7.3,18.7,
,0.00,-74.7,-6.3,16.5,4.0
,0.00,-74.7,-8.8,18.3,4.0
,0.00,-72.2,-8.0,17.9,4.0
,0.00,-70.8,-7.4,23.2,4.0
,0.00,-71.4,-4.1,14.9,
,0.00,-77.1,-8.7,15.9,4.0
,0.00,-72.8,-7.1,16.4,4.0
,,,,,4.0
,,-69.2,-8.2,26.1,
,,-75.6,-9.8,16.3,
,,-72.0,-8.1,14.6,4.0
,0.89,-76.0,-10.4,10.4,4.0
,0.89,-76.8,-9.2,11.4,4.0
,0.00,-80.3,-11.0,0.1,4.0
,0.00,-83.0,-13.4,2.2,4.0
,0.00,-81.1,-10.0,3.7,4.0
,0.00,-79.3,-16.6,4.0,4.0
,0.00,-75.8,-14.5,-4.8,4.0
,0.00,-75.4,-14.7,-3.4,4.0
,1.22,-79.6,-14.0,2.1,4.0
,0.39,-78.4,-12.1,2.9,
,3.31,-80.5,-12.8,3.0,4.0
,43.34,-79.5,-7.7,-1.4,
,0.00,-81.3,-9.8,-1.3,4.0
,11.58,-82.3,-12.2,9.0,4.0
,101.39,-79.6,-7.9,7.5,4.0
,4205.16,-81.1,-10.4,10.3,49.2
,28406.05,-79.7,-11.6,11.6,24.8
24322.46,35164.65,-80.3,-15.2,9.4,100.0
18055.54,48733.88,-80.0,-15.4,11.6,98.4
50234.45,48025.40,-78.9,-15.9,8.0,99.2
46607.80,35057.07,-78.4,-11.9,7.9,67.0
53979.90,13768.45,-79.2,-12.5,10.0,81.5
,45909.95,-79.6,-15.8,12.2,92.4
18673.60,47267.59,-79.4,-16.5,5.3,90.0
46494.00,34470.10,-78.7,-16.7,5.0,88.4
38677.22,36042.05,-78.8,-16.1,6.7,78.2
38779.26,39028.56,-77.9,-16.9,0.8,99.2
34721.50,49036.96,-77.2,-16.2,11.1,88.0
23236.85,37125.09,-77.8,-14.8,11.5,72.8
62587.77,55310.40,-77.6,-15.9,11.1,95.6
26627.06,51871.20,-77.7,-15.9,8.7,97.6
54295.74,54624.12,-78.2,-15.9,9.4,86.4
54418.61,50391.55,-78.0,-15.9,10.3,98.0
46175.00,57610.74,-77.8,-15.8,9.5,99.6
58398.88,60557.06,-77.5,-15.7,10.0,99.1
58183.44,46690.63,-78.0,-15.7,8.5,74.8
54467.33,31600.71,-79.6,-15.8,4.0,97.8
38642.40,22883.43,-79.5,-16.4,6.7,91.6
23198.40,21180.67,-80.7,-17.0,3.1,76.0
26836.95,30672.41,-81.1,-17.0,2.5,83.2
19297.03,41370.82,-82.1,-15.3,10.3,97.8
38577.60,44483.78,-81.3,-15.6,7.4,93.1
46654.03,47183.71,-80.8,-15.4,9.5,98.8
46324.51,52423.94,-79.8,-14.5,9.3,88.4
50152.91,50382.21,-77.1,-13.8,11.8,80.0
52624.22,46188.66,-80.5,-14.3,10.2,88.0
28605.14,43853.39,-85.6,-16.5,3.3,94.4
42686.34,41546.00,-86.0,-15.1,6.2,96.9
46340.74,42636.78,-83.5,-15.4,1.6,95.2
39665.98,24786.05,-85.3,-16.9,0.9,89.2
33815.18,33000.26,-81.8,-16.9,5.5,99.2
26846.81,37016.73,-84.4,-15.7,8.6,83.6
38751.74,15673.83,-87.9,-17.9,-2.2,92.0
26934.54,43685.41,-75.2,-16.7,12.8,62.0
15692.39,41528.54,-76.6,-15.1,11.7,53.8
45901.87,34250.72,-77.0,-14.2,13.2,52.0
38909.86,27463.05,-71.8,-15.4,19.6,33.2
28148.37,29940.48,-74.7,-13.3,20.8,35.6
29818.84,35058.95,-73.1,-14.2,17.3,45.6
30973.88,41639.14,-74.0,-16.4,10.5,54.8
37918.70,41344.04,-73.2,-18.6,16.4,69.8
43583.61,36854.96,-72.8,-19.0,11.7,78.0
38815.20,25529.00,-80.2,-18.7,-1.3,69.6
30909.37,23489.81,-73.5,-16.0,15.0,35.1
22366.80,21968.53,-78.3,-16.4,14.4,44.0
23144.40,28303.21,-78.9,-13.6,13.9,40.4
23253.12,34148.06,-76.8,-13.5,15.7,44.4
