4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
103500.8,58698.96,-86.4,-12.6,18.4,92.4
103500.8,58698.96,-86.4,-12.6,18.4,92.4
23514.4,60640.94,-86.8,-12.3,17.9,86.4
23514.4,60640.94,-86.8,-12.3,17.9,86.4
68265.6,59377.24,-87.9,-12.3,19.2,89.2
68265.6,59377.24,-87.9,-12.3,19.2,89.2
54173.6,67673.45,-88.5,-12,15.7,92
54173.6,67673.45,-88.5,-12,15.7,92
64376,46775.72,-89.5,-12,14.6,88.4
64376,46775.72,-89.5,-12,14.6,88.4
54766.4,59885.02,-89.3,-12.2,18.8,92.8
54766.4,59885.02,-89.3,-12.2,18.8,92.8
69940,54839.79,-88.2,-11.7,14.4,93.2
69940,54839.79,-88.2,-11.7,14.4,93.2
,46937.79,-88.4,-12.9,12.9,82.4
,46937.79,-88.4,-12.9,12.9,82.4
34985.6,53571.54,-89.8,-12.2,11.9,93.6
34985.6,53571.54,-89.8,-12.2,11.9,93.6
70720,47341,-89,-12.8,8.6,91.6
70720,47341,-89,-12.8,8.6,91.6
51760.51,57625.17,-89,-11.9,17.3,91.2
51760.51,57625.17,-89,-11.9,17.3,91.2
49587.2,43352.19,-91.3,-12.5,12.5,88
49587.2,43352.19,-91.3,-12.5,12.5,88
57449.6,35222.96,-90,-13.3,8.4,84.8
57449.6,35222.96,-90,-13.3,8.4,84.8
30336.8,26248.94,-88.9,-10.3,10.9,92
30336.8,26248.94,-88.9,-10.3,10.9,92
57232.26,1943.14,-91,-8,12.3,37.3
57232.26,1943.14,-91,-8,12.3,37.3
,32842.89,-90.8,-13.5,11.4,90
,32842.89,-90.8,-13.5,11.4,90
3797.23,31617.47,-88.9,-12.3,9.7,76.4
3797.23,31617.47,-88.9,-12.3,9.7,76.4
32556.06,36899.2,-86.8,-12.6,11.4,95.2
32556.06,36899.2,-86.8,-12.6,11.4,95.2
35724,38421.36,-86.9,-12.8,14,96.8
35724,38421.36,-86.9,-12.8,14,96.8
38001.6,36145.19,-88.2,-13.1,13.1,96.4
38001.6,36145.19,-88.2,-13.1,13.1,96.4
27060.8,41331.3,-85.6,-11.3,11.7,78.4
27060.8,41331.3,-85.6,-11.3,11.7,78.4
46352.8,66906.1,-83.8,-12,14.3,90.4
46352.8,66906.1,-83.8,-12,14.3,90.4
46467.2,72304.09,-82.1,-9.9,14.4,84.8
46467.2,72304.09,-82.1,-9.9,14.4,84.8
,73607.8,-83.9,-11.3,21.8,83.1
,73607.8,-83.9,-11.3,21.8,83.1
74073.37,82342.59,-81.1,-11.8,18,94.4
74073.37,82342.59,-81.1,-11.8,18,94.4
75691.11,81842.59,-80,-11.7,22.8,94
75691.11,81842.59,-80,-11.7,22.8,94
80571.84,87738.72,-77.9,-11.9,21.8,96
80571.84,87738.72,-77.9,-11.9,21.8,96
88077.6,75271.1,-80.3,-11.3,17.1,93.1
88077.6,75271.1,-80.3,-11.3,17.1,93.1
84389.06,52761.22,-80.9,-8.8,13.1,84.4
84389.06,52761.22,-80.9,-8.8,13.1,84.4
38193.58,86920.05,-79.5,-11.6,14.2,95.2
