POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
4.199999809,-5.199999809,-68.19999695,3,-6.300000191,-2.700000048,6,6,111.4000015,-106,-22,-8.5,-10.60000038,-71.40000153,-73.19999695,29.29999924,33,907,937,470,509,1.629999995,12.69999981,46,348
4.380000114,-5.300000191,-59,2,-5.900000095,-3.5,1,4,115.9000015,-106,-22,-7.900000095,-8.800000191,-61.40000153,-62.70000076,34.90000153,0,392,392,197,197,3.859999895,20.89999962,23,87
4.340000153,-10.30000019,-58.40000153,1,3.799999952,7,0,4,115.9000015,-106,-22,-10.30000019,-21.70000076,-58.40000153,-74.90000153,41.09999847,0,392,392,197,197,3.859999895,36.79999924,42,72
4.349999905,-4.5,-58.90000153,2,-7.5,-4.599999905,2,1,115.9000015,-106,-22,-4.599999905,-21.70000076,-59,-74.90000153,39.09999847,0,651,744,197,197,2.700000048,21,25,94
4.230000019,-6.099999905,-66.5,2,3.799999952,7.300000191,2,6,115.9000015,-106,-22,-7.699999809,-14.5,-67.69999695,-76,29.39999962,86,651,744,402,489,0.800000012,12,56,566
3.529999971,-7,-70.19999695,2,9.300000191,9.199999809,0,2,108.0999985,-106,-22,-8,-13.69999981,-71.30000305,-77.09999847,23.70000076,0,157,157,400,403,11.42000008,18.29999924,37,214
4.050000191,-6.300000191,-65.19999695,1,2.200000048,3.299999952,2,1,108.0999985,-106,-22,-7.199999809,-11.30000019,-66.09999847,-71.90000153,30.70000076,0,157,157,400,403,11.42000008,31.10000038,102,226
4.309999943,-6.5,-61.09999847,2,12.30000019,12,0,1,109.5,-106,-22,-6.800000191,-12.60000038,-61.40000153,-70.59999847,33.29999924,162,204,366,400,403,1.850000024,17.79999924,39,181
4.119999886,-5.699999809,-58.29999924,2,8.5,8.100000381,0,2,109.5,-106,-22,-7.5,-13.10000038,-60.5,-66.59999847,31.20000076,1,290,290,400,403,2.099999905,9.5,40,397
4.190000057,-7.699999809,-59,2,13.60000038,12.10000038,0,1,109.5,-106,-22,-9,-13.5,-60.5,-64.90000153,30.20000076,30,220,243,262,298,1.309999943,8.800000191,24,255
